pattern_type,sender_account,receiver_account,pattern_strength,detected_time,risk_level,description
Circular Transfer,A0270,A0468,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0097,A0444,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0108,A0395,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0128,A0495,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0229,A0245,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0086,A0008,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0281,A0098,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0169,A0494,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0092,A0125,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0421,A0159,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0248,A0428,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0239,A0372,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0077,A0248,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0421,A0416,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0085,A0383,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0187,A0463,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0172,A0045,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0076,A0005,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0104,A0332,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0105,A0451,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0070,A0212,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0064,A0454,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0068,A0318,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0278,A0471,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0025,A0257,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0308,A0266,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0469,A0058,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0482,A0044,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0085,A0200,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0042,A0198,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0191,A0351,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0212,A0171,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0352,A0349,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0260,A0127,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0343,A0236,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0243,A0288,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0076,A0420,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0308,A0116,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0058,A0047,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0486,A0358,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0484,A0199,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0057,A0288,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0025,A0314,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0284,A0243,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0026,A0396,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0425,A0343,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0254,A0469,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0315,A0500,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0136,A0295,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0196,A0097,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0050,A0041,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0376,A0181,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0149,A0097,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0446,A0219,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0210,A0266,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0430,A0287,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0057,A0104,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0010,A0475,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0061,A0043,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0053,A0197,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0053,A0341,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0084,A0344,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0004,A0003,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0039,A0061,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0066,A0387,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0030,A0494,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0266,A0270,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0468,A0205,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0009,A0328,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0458,A0010,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0462,A0011,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0473,A0284,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0154,A0494,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0156,A0012,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0351,A0396,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0211,A0378,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0052,A0245,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0378,A0373,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0154,A0062,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0347,A0309,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0056,A0437,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0426,A0374,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0183,A0236,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0149,A0293,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0365,A0374,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0343,A0052,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0149,A0183,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0416,A0179,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0274,A0471,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0038,A0106,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0191,A0060,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0314,A0048,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0105,A0459,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0373,A0334,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0366,A0404,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0317,A0069,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0189,A0330,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0394,A0424,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0018,A0360,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0366,A0392,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0454,A0210,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0279,A0094,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0261,A0363,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0129,A0349,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0284,A0294,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0189,A0257,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0196,A0346,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0380,A0198,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0249,A0311,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0263,A0039,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0463,A0050,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0500,A0252,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0030,A0305,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0123,A0342,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0149,A0309,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0236,A0178,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0402,A0499,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0271,A0342,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0262,A0021,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0196,A0409,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0435,A0449,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0099,A0105,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0079,A0158,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0446,A0021,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0436,A0325,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0057,A0168,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0333,A0195,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0426,A0027,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0116,A0084,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0147,A0286,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0155,A0475,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0290,A0270,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0307,A0022,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0282,A0229,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0436,A0188,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0290,A0099,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0012,A0022,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0435,A0465,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0021,A0029,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0441,A0394,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0133,A0319,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0263,A0348,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0453,A0480,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0126,A0061,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0235,A0163,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0236,A0491,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0374,A0326,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0303,A0273,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0355,A0279,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0430,A0091,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0438,A0369,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0099,A0287,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0383,A0255,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0458,A0245,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0423,A0231,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0209,A0431,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0235,A0058,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0099,A0329,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0270,A0067,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0345,A0397,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0234,A0105,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0122,A0117,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0330,A0406,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0293,A0326,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0105,A0462,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0403,A0392,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0156,A0286,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0300,A0085,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0153,A0376,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0250,A0292,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0227,A0336,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0404,A0316,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0251,A0028,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0388,A0256,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0074,A0187,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0012,A0332,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0281,A0446,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0127,A0142,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0205,A0419,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0198,A0416,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0204,A0445,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0362,A0346,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0323,A0098,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0129,A0434,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0054,A0130,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0231,A0098,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0076,A0241,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0474,A0315,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0338,A0138,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0031,A0331,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0413,A0029,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0031,A0489,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0246,A0183,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0400,A0071,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0489,A0204,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0384,A0236,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0139,A0217,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0206,A0476,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0175,A0391,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0022,A0387,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0217,A0310,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0173,A0490,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0371,A0278,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0258,A0187,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0188,A0205,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0370,A0075,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0441,A0230,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0256,A0312,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0140,A0114,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0202,A0352,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0286,A0020,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0093,A0479,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0358,A0359,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0459,A0221,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0481,A0385,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0489,A0221,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0382,A0123,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0227,A0476,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0014,A0095,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0183,A0283,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0143,A0458,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0240,A0344,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0358,A0239,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0305,A0147,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0194,A0141,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0063,A0363,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0074,A0026,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0055,A0095,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0110,A0278,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0078,A0279,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0443,A0179,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0426,A0268,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0377,A0282,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0227,A0164,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0291,A0435,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0287,A0442,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0034,A0142,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0402,A0337,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0087,A0220,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0326,A0480,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0472,A0069,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0070,A0310,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0471,A0463,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0122,A0238,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0089,A0349,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0378,A0410,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0070,A0127,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0288,A0306,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0364,A0169,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0430,A0429,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0437,A0117,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0359,A0429,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0056,A0071,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0059,A0362,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0141,A0409,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0445,A0070,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0267,A0452,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0054,A0168,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0312,A0408,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0116,A0188,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0108,A0031,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0322,A0270,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0263,A0472,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0236,A0055,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0248,A0317,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0345,A0201,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0174,A0108,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0494,A0031,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0299,A0455,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0144,A0068,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0374,A0250,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0184,A0445,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0380,A0170,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0174,A0097,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0350,A0485,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0012,A0481,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0284,A0036,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0075,A0047,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0426,A0193,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0378,A0479,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0225,A0134,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0410,A0268,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0105,A0491,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0299,A0317,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0449,A0426,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0051,A0084,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0446,A0415,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0412,A0381,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0470,A0406,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0076,A0009,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0242,A0073,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0296,A0211,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0446,A0014,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0182,A0327,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0269,A0218,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0375,A0003,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0426,A0276,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0249,A0054,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0200,A0339,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0147,A0282,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0373,A0294,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0420,A0001,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0428,A0035,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0203,A0133,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0330,A0481,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0255,A0365,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0099,A0348,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0105,A0102,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0028,A0220,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0117,A0241,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0061,A0408,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0064,A0335,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0191,A0022,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0163,A0445,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0234,A0039,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0220,A0396,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0225,A0458,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0269,A0058,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0151,A0224,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0255,A0437,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0464,A0043,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0121,A0387,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0329,A0320,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0382,A0314,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0471,A0120,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0442,A0160,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0038,A0373,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0301,A0203,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0471,A0187,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0424,A0260,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0019,A0406,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0257,A0236,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0280,A0240,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0245,A0282,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0154,A0184,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0057,A0379,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0357,A0262,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0326,A0496,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0168,A0419,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0184,A0399,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0362,A0208,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0236,A0182,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0055,A0468,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0443,A0067,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0410,A0111,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0360,A0482,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0443,A0481,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0284,A0265,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0012,A0296,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0106,A0291,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0394,A0409,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0166,A0255,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0111,A0132,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0369,A0282,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0105,A0252,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0113,A0187,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0303,A0309,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0386,A0353,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0099,A0270,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0442,A0209,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0371,A0406,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0308,A0495,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0035,A0147,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0059,A0325,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0138,A0175,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0361,A0447,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0476,A0203,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0059,A0435,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0249,A0075,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0097,A0114,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0134,A0108,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0060,A0406,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0267,A0341,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0117,A0029,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0014,A0332,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0319,A0131,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0119,A0040,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0025,A0333,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0227,A0323,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0351,A0339,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0146,A0090,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0295,A0455,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0291,A0419,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0291,A0334,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0224,A0425,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0301,A0326,2,,HIGH,Bi-directional money flow detected
Circular Transfer,A0440,A0202,2,,HIGH,Bi-directional money flow detected
