id,pattern_type,sender_account,receiver_account,pattern_strength,detected_time,risk_level,description
2695,Circular Transfer,A0326,A0088,2,,HIGH,Bi-directional money flow detected
2696,Circular Transfer,A0350,A0408,2,,HIGH,Bi-directional money flow detected
2697,Circular Transfer,A0484,A0456,2,,HIGH,Bi-directional money flow detected
2698,Circular Transfer,A0234,A0174,2,,HIGH,Bi-directional money flow detected
2699,Circular Transfer,A0446,A0484,2,,HIGH,Bi-directional money flow detected
2700,Circular Transfer,A0083,A0188,2,,HIGH,Bi-directional money flow detected
2701,Circular Transfer,A0294,A0050,2,,HIGH,Bi-directional money flow detected
2702,Circular Transfer,A0325,A0319,2,,HIGH,Bi-directional money flow detected
2703,Circular Transfer,A0338,A0068,2,,HIGH,Bi-directional money flow detected
2704,Circular Transfer,A0097,A0497,2,,HIGH,Bi-directional money flow detected
2705,Circular Transfer,A0335,A0226,2,,HIGH,Bi-directional money flow detected
2706,Circular Transfer,A0263,A0164,2,,HIGH,Bi-directional money flow detected
2707,Circular Transfer,A0364,A0233,2,,HIGH,Bi-directional money flow detected
2708,Circular Transfer,A0369,A0425,2,,HIGH,Bi-directional money flow detected
2709,Circular Transfer,A0357,A0071,2,,HIGH,Bi-directional money flow detected
2710,Circular Transfer,A0207,A0131,2,,HIGH,Bi-directional money flow detected
2711,Circular Transfer,A0252,A0040,2,,HIGH,Bi-directional money flow detected
2712,Circular Transfer,A0228,A0452,2,,HIGH,Bi-directional money flow detected
2713,Circular Transfer,A0460,A0140,2,,HIGH,Bi-directional money flow detected
2714,Circular Transfer,A0009,A0008,2,,HIGH,Bi-directional money flow detected
2715,Circular Transfer,A0339,A0024,2,,HIGH,Bi-directional money flow detected
2716,Circular Transfer,A0080,A0085,2,,HIGH,Bi-directional money flow detected
2717,Circular Transfer,A0405,A0319,2,,HIGH,Bi-directional money flow detected
2718,Circular Transfer,A0167,A0026,2,,HIGH,Bi-directional money flow detected
2719,Circular Transfer,A0260,A0475,2,,HIGH,Bi-directional money flow detected
2720,Circular Transfer,A0074,A0383,2,,HIGH,Bi-directional money flow detected
2721,Circular Transfer,A0270,A0468,2,,HIGH,Bi-directional money flow detected
2722,Circular Transfer,A0097,A0444,2,,HIGH,Bi-directional money flow detected
2723,Circular Transfer,A0108,A0395,2,,HIGH,Bi-directional money flow detected
2724,Circular Transfer,A0128,A0495,2,,HIGH,Bi-directional money flow detected
2725,Circular Transfer,A0229,A0245,2,,HIGH,Bi-directional money flow detected
2726,Circular Transfer,A0086,A0008,2,,HIGH,Bi-directional money flow detected
2727,Circular Transfer,A0281,A0098,2,,HIGH,Bi-directional money flow detected
2728,Circular Transfer,A0169,A0494,2,,HIGH,Bi-directional money flow detected
2729,Circular Transfer,A0092,A0125,2,,HIGH,Bi-directional money flow detected
2730,Circular Transfer,A0421,A0159,2,,HIGH,Bi-directional money flow detected
2731,Circular Transfer,A0248,A0428,2,,HIGH,Bi-directional money flow detected
2732,Circular Transfer,A0239,A0372,2,,HIGH,Bi-directional money flow detected
2733,Circular Transfer,A0077,A0248,2,,HIGH,Bi-directional money flow detected
2734,Circular Transfer,A0421,A0416,2,,HIGH,Bi-directional money flow detected
2735,Circular Transfer,A0085,A0383,2,,HIGH,Bi-directional money flow detected
2736,Circular Transfer,A0187,A0463,2,,HIGH,Bi-directional money flow detected
2737,Circular Transfer,A0172,A0045,2,,HIGH,Bi-directional money flow detected
2738,Circular Transfer,A0076,A0005,2,,HIGH,Bi-directional money flow detected
2739,Circular Transfer,A0104,A0332,2,,HIGH,Bi-directional money flow detected
2740,Circular Transfer,A0105,A0451,2,,HIGH,Bi-directional money flow detected
2741,Circular Transfer,A0070,A0212,2,,HIGH,Bi-directional money flow detected
2742,Circular Transfer,A0064,A0454,2,,HIGH,Bi-directional money flow detected
2743,Circular Transfer,A0068,A0318,2,,HIGH,Bi-directional money flow detected
2744,Circular Transfer,A0278,A0471,2,,HIGH,Bi-directional money flow detected
2745,Circular Transfer,A0025,A0257,2,,HIGH,Bi-directional money flow detected
2746,Circular Transfer,A0308,A0266,2,,HIGH,Bi-directional money flow detected
2747,Circular Transfer,A0469,A0058,2,,HIGH,Bi-directional money flow detected
2748,Circular Transfer,A0482,A0044,2,,HIGH,Bi-directional money flow detected
2749,Circular Transfer,A0085,A0200,2,,HIGH,Bi-directional money flow detected
2750,Circular Transfer,A0042,A0198,2,,HIGH,Bi-directional money flow detected
2751,Circular Transfer,A0191,A0351,2,,HIGH,Bi-directional money flow detected
2752,Circular Transfer,A0212,A0171,2,,HIGH,Bi-directional money flow detected
2753,Circular Transfer,A0352,A0349,2,,HIGH,Bi-directional money flow detected
2754,Circular Transfer,A0260,A0127,2,,HIGH,Bi-directional money flow detected
2755,Circular Transfer,A0343,A0236,2,,HIGH,Bi-directional money flow detected
2756,Circular Transfer,A0243,A0288,2,,HIGH,Bi-directional money flow detected
2757,Circular Transfer,A0076,A0420,2,,HIGH,Bi-directional money flow detected
2758,Circular Transfer,A0308,A0116,2,,HIGH,Bi-directional money flow detected
2759,Circular Transfer,A0058,A0047,2,,HIGH,Bi-directional money flow detected
2760,Circular Transfer,A0486,A0358,2,,HIGH,Bi-directional money flow detected
2761,Circular Transfer,A0484,A0199,2,,HIGH,Bi-directional money flow detected
2762,Circular Transfer,A0057,A0288,2,,HIGH,Bi-directional money flow detected
2763,Circular Transfer,A0025,A0314,2,,HIGH,Bi-directional money flow detected
2764,Circular Transfer,A0284,A0243,2,,HIGH,Bi-directional money flow detected
2765,Circular Transfer,A0026,A0396,2,,HIGH,Bi-directional money flow detected
2766,Circular Transfer,A0425,A0343,2,,HIGH,Bi-directional money flow detected
2767,Circular Transfer,A0254,A0469,2,,HIGH,Bi-directional money flow detected
2768,Circular Transfer,A0315,A0500,2,,HIGH,Bi-directional money flow detected
2769,Circular Transfer,A0136,A0295,2,,HIGH,Bi-directional money flow detected
2770,Circular Transfer,A0196,A0097,2,,HIGH,Bi-directional money flow detected
2771,Circular Transfer,A0050,A0041,2,,HIGH,Bi-directional money flow detected
2772,Circular Transfer,A0376,A0181,2,,HIGH,Bi-directional money flow detected
2773,Circular Transfer,A0149,A0097,2,,HIGH,Bi-directional money flow detected
2774,Circular Transfer,A0446,A0219,2,,HIGH,Bi-directional money flow detected
2775,Circular Transfer,A0210,A0266,2,,HIGH,Bi-directional money flow detected
2776,Circular Transfer,A0430,A0287,2,,HIGH,Bi-directional money flow detected
2777,Circular Transfer,A0057,A0104,2,,HIGH,Bi-directional money flow detected
2778,Circular Transfer,A0010,A0475,2,,HIGH,Bi-directional money flow detected
2779,Circular Transfer,A0061,A0043,2,,HIGH,Bi-directional money flow detected
2780,Circular Transfer,A0053,A0197,2,,HIGH,Bi-directional money flow detected
2781,Circular Transfer,A0053,A0341,2,,HIGH,Bi-directional money flow detected
2782,Circular Transfer,A0084,A0344,2,,HIGH,Bi-directional money flow detected
2783,Circular Transfer,A0004,A0003,2,,HIGH,Bi-directional money flow detected
2784,Circular Transfer,A0039,A0061,2,,HIGH,Bi-directional money flow detected
2785,Circular Transfer,A0066,A0387,2,,HIGH,Bi-directional money flow detected
2786,Circular Transfer,A0030,A0494,2,,HIGH,Bi-directional money flow detected
2787,Circular Transfer,A0266,A0270,2,,HIGH,Bi-directional money flow detected
2788,Circular Transfer,A0468,A0205,2,,HIGH,Bi-directional money flow detected
2789,Circular Transfer,A0009,A0328,2,,HIGH,Bi-directional money flow detected
2790,Circular Transfer,A0458,A0010,2,,HIGH,Bi-directional money flow detected
2791,Circular Transfer,A0462,A0011,2,,HIGH,Bi-directional money flow detected
2792,Circular Transfer,A0473,A0284,2,,HIGH,Bi-directional money flow detected
2793,Circular Transfer,A0154,A0494,2,,HIGH,Bi-directional money flow detected
2794,Circular Transfer,A0156,A0012,2,,HIGH,Bi-directional money flow detected
2795,Circular Transfer,A0351,A0396,2,,HIGH,Bi-directional money flow detected
2796,Circular Transfer,A0211,A0378,2,,HIGH,Bi-directional money flow detected
2797,Circular Transfer,A0052,A0245,2,,HIGH,Bi-directional money flow detected
2798,Circular Transfer,A0378,A0373,2,,HIGH,Bi-directional money flow detected
2799,Circular Transfer,A0154,A0062,2,,HIGH,Bi-directional money flow detected
2800,Circular Transfer,A0347,A0309,2,,HIGH,Bi-directional money flow detected
2801,Circular Transfer,A0056,A0437,2,,HIGH,Bi-directional money flow detected
2802,Circular Transfer,A0426,A0374,2,,HIGH,Bi-directional money flow detected
2803,Circular Transfer,A0183,A0236,2,,HIGH,Bi-directional money flow detected
2804,Circular Transfer,A0149,A0293,2,,HIGH,Bi-directional money flow detected
2805,Circular Transfer,A0365,A0374,2,,HIGH,Bi-directional money flow detected
2806,Circular Transfer,A0343,A0052,2,,HIGH,Bi-directional money flow detected
2807,Circular Transfer,A0149,A0183,2,,HIGH,Bi-directional money flow detected
2808,Circular Transfer,A0416,A0179,2,,HIGH,Bi-directional money flow detected
2809,Circular Transfer,A0274,A0471,2,,HIGH,Bi-directional money flow detected
2810,Circular Transfer,A0038,A0106,2,,HIGH,Bi-directional money flow detected
2811,Circular Transfer,A0191,A0060,2,,HIGH,Bi-directional money flow detected
2812,Circular Transfer,A0314,A0048,2,,HIGH,Bi-directional money flow detected
2813,Circular Transfer,A0105,A0459,2,,HIGH,Bi-directional money flow detected
2814,Circular Transfer,A0373,A0334,2,,HIGH,Bi-directional money flow detected
2815,Circular Transfer,A0366,A0404,2,,HIGH,Bi-directional money flow detected
2816,Circular Transfer,A0317,A0069,2,,HIGH,Bi-directional money flow detected
2817,Circular Transfer,A0189,A0330,2,,HIGH,Bi-directional money flow detected
2818,Circular Transfer,A0394,A0424,2,,HIGH,Bi-directional money flow detected
2819,Circular Transfer,A0018,A0360,2,,HIGH,Bi-directional money flow detected
2820,Circular Transfer,A0366,A0392,2,,HIGH,Bi-directional money flow detected
2821,Circular Transfer,A0454,A0210,2,,HIGH,Bi-directional money flow detected
2822,Circular Transfer,A0279,A0094,2,,HIGH,Bi-directional money flow detected
2823,Circular Transfer,A0261,A0363,2,,HIGH,Bi-directional money flow detected
2824,Circular Transfer,A0129,A0349,2,,HIGH,Bi-directional money flow detected
2825,Circular Transfer,A0284,A0294,2,,HIGH,Bi-directional money flow detected
2826,Circular Transfer,A0189,A0257,2,,HIGH,Bi-directional money flow detected
2827,Circular Transfer,A0196,A0346,2,,HIGH,Bi-directional money flow detected
2828,Circular Transfer,A0380,A0198,2,,HIGH,Bi-directional money flow detected
2829,Circular Transfer,A0249,A0311,2,,HIGH,Bi-directional money flow detected
2830,Circular Transfer,A0263,A0039,2,,HIGH,Bi-directional money flow detected
2831,Circular Transfer,A0463,A0050,2,,HIGH,Bi-directional money flow detected
2832,Circular Transfer,A0500,A0252,2,,HIGH,Bi-directional money flow detected
2833,Circular Transfer,A0030,A0305,2,,HIGH,Bi-directional money flow detected
2834,Circular Transfer,A0123,A0342,2,,HIGH,Bi-directional money flow detected
2835,Circular Transfer,A0149,A0309,2,,HIGH,Bi-directional money flow detected
2836,Circular Transfer,A0236,A0178,2,,HIGH,Bi-directional money flow detected
2837,Circular Transfer,A0402,A0499,2,,HIGH,Bi-directional money flow detected
2838,Circular Transfer,A0271,A0342,2,,HIGH,Bi-directional money flow detected
2839,Circular Transfer,A0262,A0021,2,,HIGH,Bi-directional money flow detected
2840,Circular Transfer,A0196,A0409,2,,HIGH,Bi-directional money flow detected
2841,Circular Transfer,A0435,A0449,2,,HIGH,Bi-directional money flow detected
2842,Circular Transfer,A0099,A0105,2,,HIGH,Bi-directional money flow detected
2843,Circular Transfer,A0079,A0158,2,,HIGH,Bi-directional money flow detected
2844,Circular Transfer,A0446,A0021,2,,HIGH,Bi-directional money flow detected
2845,Circular Transfer,A0436,A0325,2,,HIGH,Bi-directional money flow detected
2846,Circular Transfer,A0057,A0168,2,,HIGH,Bi-directional money flow detected
2847,Circular Transfer,A0333,A0195,2,,HIGH,Bi-directional money flow detected
2848,Circular Transfer,A0426,A0027,2,,HIGH,Bi-directional money flow detected
2849,Circular Transfer,A0116,A0084,2,,HIGH,Bi-directional money flow detected
2850,Circular Transfer,A0147,A0286,2,,HIGH,Bi-directional money flow detected
2851,Circular Transfer,A0155,A0475,2,,HIGH,Bi-directional money flow detected
2852,Circular Transfer,A0290,A0270,2,,HIGH,Bi-directional money flow detected
2853,Circular Transfer,A0307,A0022,2,,HIGH,Bi-directional money flow detected
2854,Circular Transfer,A0282,A0229,2,,HIGH,Bi-directional money flow detected
2855,Circular Transfer,A0436,A0188,2,,HIGH,Bi-directional money flow detected
2856,Circular Transfer,A0290,A0099,2,,HIGH,Bi-directional money flow detected
2857,Circular Transfer,A0012,A0022,2,,HIGH,Bi-directional money flow detected
2858,Circular Transfer,A0435,A0465,2,,HIGH,Bi-directional money flow detected
2859,Circular Transfer,A0021,A0029,2,,HIGH,Bi-directional money flow detected
2860,Circular Transfer,A0441,A0394,2,,HIGH,Bi-directional money flow detected
2861,Circular Transfer,A0133,A0319,2,,HIGH,Bi-directional money flow detected
2862,Circular Transfer,A0263,A0348,2,,HIGH,Bi-directional money flow detected
2863,Circular Transfer,A0453,A0480,2,,HIGH,Bi-directional money flow detected
2864,Circular Transfer,A0126,A0061,2,,HIGH,Bi-directional money flow detected
2865,Circular Transfer,A0235,A0163,2,,HIGH,Bi-directional money flow detected
2866,Circular Transfer,A0236,A0491,2,,HIGH,Bi-directional money flow detected
2867,Circular Transfer,A0374,A0326,2,,HIGH,Bi-directional money flow detected
2868,Circular Transfer,A0303,A0273,2,,HIGH,Bi-directional money flow detected
2869,Circular Transfer,A0355,A0279,2,,HIGH,Bi-directional money flow detected
2870,Circular Transfer,A0430,A0091,2,,HIGH,Bi-directional money flow detected
2871,Circular Transfer,A0438,A0369,2,,HIGH,Bi-directional money flow detected
2872,Circular Transfer,A0099,A0287,2,,HIGH,Bi-directional money flow detected
2873,Circular Transfer,A0383,A0255,2,,HIGH,Bi-directional money flow detected
2874,Circular Transfer,A0458,A0245,2,,HIGH,Bi-directional money flow detected
2875,Circular Transfer,A0423,A0231,2,,HIGH,Bi-directional money flow detected
2876,Circular Transfer,A0209,A0431,2,,HIGH,Bi-directional money flow detected
2877,Circular Transfer,A0235,A0058,2,,HIGH,Bi-directional money flow detected
2878,Circular Transfer,A0099,A0329,2,,HIGH,Bi-directional money flow detected
2879,Circular Transfer,A0270,A0067,2,,HIGH,Bi-directional money flow detected
2880,Circular Transfer,A0345,A0397,2,,HIGH,Bi-directional money flow detected
2881,Circular Transfer,A0234,A0105,2,,HIGH,Bi-directional money flow detected
2882,Circular Transfer,A0122,A0117,2,,HIGH,Bi-directional money flow detected
2883,Circular Transfer,A0330,A0406,2,,HIGH,Bi-directional money flow detected
2884,Circular Transfer,A0293,A0326,2,,HIGH,Bi-directional money flow detected
2885,Circular Transfer,A0105,A0462,2,,HIGH,Bi-directional money flow detected
2886,Circular Transfer,A0403,A0392,2,,HIGH,Bi-directional money flow detected
2887,Circular Transfer,A0156,A0286,2,,HIGH,Bi-directional money flow detected
2888,Circular Transfer,A0300,A0085,2,,HIGH,Bi-directional money flow detected
2889,Circular Transfer,A0153,A0376,2,,HIGH,Bi-directional money flow detected
2890,Circular Transfer,A0250,A0292,2,,HIGH,Bi-directional money flow detected
2891,Circular Transfer,A0227,A0336,2,,HIGH,Bi-directional money flow detected
2892,Circular Transfer,A0404,A0316,2,,HIGH,Bi-directional money flow detected
2893,Circular Transfer,A0251,A0028,2,,HIGH,Bi-directional money flow detected
2894,Circular Transfer,A0388,A0256,2,,HIGH,Bi-directional money flow detected
2895,Circular Transfer,A0074,A0187,2,,HIGH,Bi-directional money flow detected
2896,Circular Transfer,A0012,A0332,2,,HIGH,Bi-directional money flow detected
2897,Circular Transfer,A0281,A0446,2,,HIGH,Bi-directional money flow detected
2898,Circular Transfer,A0127,A0142,2,,HIGH,Bi-directional money flow detected
2899,Circular Transfer,A0205,A0419,2,,HIGH,Bi-directional money flow detected
2900,Circular Transfer,A0198,A0416,2,,HIGH,Bi-directional money flow detected
2901,Circular Transfer,A0204,A0445,2,,HIGH,Bi-directional money flow detected
2902,Circular Transfer,A0362,A0346,2,,HIGH,Bi-directional money flow detected
2903,Circular Transfer,A0323,A0098,2,,HIGH,Bi-directional money flow detected
2904,Circular Transfer,A0129,A0434,2,,HIGH,Bi-directional money flow detected
2905,Circular Transfer,A0054,A0130,2,,HIGH,Bi-directional money flow detected
2906,Circular Transfer,A0231,A0098,2,,HIGH,Bi-directional money flow detected
2907,Circular Transfer,A0076,A0241,2,,HIGH,Bi-directional money flow detected
2908,Circular Transfer,A0474,A0315,2,,HIGH,Bi-directional money flow detected
2909,Circular Transfer,A0338,A0138,2,,HIGH,Bi-directional money flow detected
2910,Circular Transfer,A0031,A0331,2,,HIGH,Bi-directional money flow detected
2911,Circular Transfer,A0413,A0029,2,,HIGH,Bi-directional money flow detected
2912,Circular Transfer,A0031,A0489,2,,HIGH,Bi-directional money flow detected
2913,Circular Transfer,A0246,A0183,2,,HIGH,Bi-directional money flow detected
2914,Circular Transfer,A0400,A0071,2,,HIGH,Bi-directional money flow detected
2915,Circular Transfer,A0489,A0204,2,,HIGH,Bi-directional money flow detected
2916,Circular Transfer,A0384,A0236,2,,HIGH,Bi-directional money flow detected
2917,Circular Transfer,A0139,A0217,2,,HIGH,Bi-directional money flow detected
2918,Circular Transfer,A0206,A0476,2,,HIGH,Bi-directional money flow detected
2919,Circular Transfer,A0175,A0391,2,,HIGH,Bi-directional money flow detected
2920,Circular Transfer,A0022,A0387,2,,HIGH,Bi-directional money flow detected
2921,Circular Transfer,A0217,A0310,2,,HIGH,Bi-directional money flow detected
2922,Circular Transfer,A0173,A0490,2,,HIGH,Bi-directional money flow detected
2923,Circular Transfer,A0371,A0278,2,,HIGH,Bi-directional money flow detected
2924,Circular Transfer,A0258,A0187,2,,HIGH,Bi-directional money flow detected
2925,Circular Transfer,A0188,A0205,2,,HIGH,Bi-directional money flow detected
2926,Circular Transfer,A0370,A0075,2,,HIGH,Bi-directional money flow detected
2927,Circular Transfer,A0441,A0230,2,,HIGH,Bi-directional money flow detected
2928,Circular Transfer,A0256,A0312,2,,HIGH,Bi-directional money flow detected
2929,Circular Transfer,A0140,A0114,2,,HIGH,Bi-directional money flow detected
2930,Circular Transfer,A0202,A0352,2,,HIGH,Bi-directional money flow detected
2931,Circular Transfer,A0286,A0020,2,,HIGH,Bi-directional money flow detected
2932,Circular Transfer,A0093,A0479,2,,HIGH,Bi-directional money flow detected
2933,Circular Transfer,A0358,A0359,2,,HIGH,Bi-directional money flow detected
2934,Circular Transfer,A0459,A0221,2,,HIGH,Bi-directional money flow detected
2935,Circular Transfer,A0481,A0385,2,,HIGH,Bi-directional money flow detected
2936,Circular Transfer,A0489,A0221,2,,HIGH,Bi-directional money flow detected
2937,Circular Transfer,A0382,A0123,2,,HIGH,Bi-directional money flow detected
2938,Circular Transfer,A0227,A0476,2,,HIGH,Bi-directional money flow detected
2939,Circular Transfer,A0014,A0095,2,,HIGH,Bi-directional money flow detected
2940,Circular Transfer,A0183,A0283,2,,HIGH,Bi-directional money flow detected
2941,Circular Transfer,A0143,A0458,2,,HIGH,Bi-directional money flow detected
2942,Circular Transfer,A0240,A0344,2,,HIGH,Bi-directional money flow detected
2943,Circular Transfer,A0358,A0239,2,,HIGH,Bi-directional money flow detected
2944,Circular Transfer,A0305,A0147,2,,HIGH,Bi-directional money flow detected
2945,Circular Transfer,A0194,A0141,2,,HIGH,Bi-directional money flow detected
2946,Circular Transfer,A0063,A0363,2,,HIGH,Bi-directional money flow detected
2947,Circular Transfer,A0074,A0026,2,,HIGH,Bi-directional money flow detected
2948,Circular Transfer,A0055,A0095,2,,HIGH,Bi-directional money flow detected
2949,Circular Transfer,A0110,A0278,2,,HIGH,Bi-directional money flow detected
2950,Circular Transfer,A0078,A0279,2,,HIGH,Bi-directional money flow detected
2951,Circular Transfer,A0443,A0179,2,,HIGH,Bi-directional money flow detected
2952,Circular Transfer,A0426,A0268,2,,HIGH,Bi-directional money flow detected
2953,Circular Transfer,A0377,A0282,2,,HIGH,Bi-directional money flow detected
2954,Circular Transfer,A0227,A0164,2,,HIGH,Bi-directional money flow detected
2955,Circular Transfer,A0291,A0435,2,,HIGH,Bi-directional money flow detected
2956,Circular Transfer,A0287,A0442,2,,HIGH,Bi-directional money flow detected
2957,Circular Transfer,A0034,A0142,2,,HIGH,Bi-directional money flow detected
2958,Circular Transfer,A0402,A0337,2,,HIGH,Bi-directional money flow detected
2959,Circular Transfer,A0087,A0220,2,,HIGH,Bi-directional money flow detected
2960,Circular Transfer,A0326,A0480,2,,HIGH,Bi-directional money flow detected
2961,Circular Transfer,A0472,A0069,2,,HIGH,Bi-directional money flow detected
2962,Circular Transfer,A0070,A0310,2,,HIGH,Bi-directional money flow detected
2963,Circular Transfer,A0471,A0463,2,,HIGH,Bi-directional money flow detected
2964,Circular Transfer,A0122,A0238,2,,HIGH,Bi-directional money flow detected
2965,Circular Transfer,A0089,A0349,2,,HIGH,Bi-directional money flow detected
2966,Circular Transfer,A0378,A0410,2,,HIGH,Bi-directional money flow detected
2967,Circular Transfer,A0070,A0127,2,,HIGH,Bi-directional money flow detected
2968,Circular Transfer,A0288,A0306,2,,HIGH,Bi-directional money flow detected
2969,Circular Transfer,A0364,A0169,2,,HIGH,Bi-directional money flow detected
2970,Circular Transfer,A0430,A0429,2,,HIGH,Bi-directional money flow detected
2971,Circular Transfer,A0437,A0117,2,,HIGH,Bi-directional money flow detected
2972,Circular Transfer,A0359,A0429,2,,HIGH,Bi-directional money flow detected
2973,Circular Transfer,A0056,A0071,2,,HIGH,Bi-directional money flow detected
2974,Circular Transfer,A0059,A0362,2,,HIGH,Bi-directional money flow detected
2975,Circular Transfer,A0141,A0409,2,,HIGH,Bi-directional money flow detected
2976,Circular Transfer,A0445,A0070,2,,HIGH,Bi-directional money flow detected
2977,Circular Transfer,A0267,A0452,2,,HIGH,Bi-directional money flow detected
2978,Circular Transfer,A0054,A0168,2,,HIGH,Bi-directional money flow detected
2979,Circular Transfer,A0312,A0408,2,,HIGH,Bi-directional money flow detected
2980,Circular Transfer,A0116,A0188,2,,HIGH,Bi-directional money flow detected
2981,Circular Transfer,A0108,A0031,2,,HIGH,Bi-directional money flow detected
2982,Circular Transfer,A0322,A0270,2,,HIGH,Bi-directional money flow detected
2983,Circular Transfer,A0263,A0472,2,,HIGH,Bi-directional money flow detected
2984,Circular Transfer,A0236,A0055,2,,HIGH,Bi-directional money flow detected
2985,Circular Transfer,A0248,A0317,2,,HIGH,Bi-directional money flow detected
2986,Circular Transfer,A0345,A0201,2,,HIGH,Bi-directional money flow detected
2987,Circular Transfer,A0174,A0108,2,,HIGH,Bi-directional money flow detected
2988,Circular Transfer,A0494,A0031,2,,HIGH,Bi-directional money flow detected
2989,Circular Transfer,A0299,A0455,2,,HIGH,Bi-directional money flow detected
2990,Circular Transfer,A0144,A0068,2,,HIGH,Bi-directional money flow detected
2991,Circular Transfer,A0374,A0250,2,,HIGH,Bi-directional money flow detected
2992,Circular Transfer,A0184,A0445,2,,HIGH,Bi-directional money flow detected
2993,Circular Transfer,A0380,A0170,2,,HIGH,Bi-directional money flow detected
2994,Circular Transfer,A0174,A0097,2,,HIGH,Bi-directional money flow detected
2995,Circular Transfer,A0350,A0485,2,,HIGH,Bi-directional money flow detected
2996,Circular Transfer,A0012,A0481,2,,HIGH,Bi-directional money flow detected
2997,Circular Transfer,A0284,A0036,2,,HIGH,Bi-directional money flow detected
2998,Circular Transfer,A0075,A0047,2,,HIGH,Bi-directional money flow detected
2999,Circular Transfer,A0426,A0193,2,,HIGH,Bi-directional money flow detected
3000,Circular Transfer,A0378,A0479,2,,HIGH,Bi-directional money flow detected
3001,Circular Transfer,A0225,A0134,2,,HIGH,Bi-directional money flow detected
3002,Circular Transfer,A0410,A0268,2,,HIGH,Bi-directional money flow detected
3003,Circular Transfer,A0105,A0491,2,,HIGH,Bi-directional money flow detected
3004,Circular Transfer,A0299,A0317,2,,HIGH,Bi-directional money flow detected
3005,Circular Transfer,A0449,A0426,2,,HIGH,Bi-directional money flow detected
3006,Circular Transfer,A0051,A0084,2,,HIGH,Bi-directional money flow detected
3007,Circular Transfer,A0446,A0415,2,,HIGH,Bi-directional money flow detected
3008,Circular Transfer,A0412,A0381,2,,HIGH,Bi-directional money flow detected
3009,Circular Transfer,A0470,A0406,2,,HIGH,Bi-directional money flow detected
3010,Circular Transfer,A0076,A0009,2,,HIGH,Bi-directional money flow detected
3011,Circular Transfer,A0242,A0073,2,,HIGH,Bi-directional money flow detected
3012,Circular Transfer,A0296,A0211,2,,HIGH,Bi-directional money flow detected
3013,Circular Transfer,A0446,A0014,2,,HIGH,Bi-directional money flow detected
3014,Circular Transfer,A0182,A0327,2,,HIGH,Bi-directional money flow detected
3015,Circular Transfer,A0269,A0218,2,,HIGH,Bi-directional money flow detected
3016,Circular Transfer,A0375,A0003,2,,HIGH,Bi-directional money flow detected
3017,Circular Transfer,A0426,A0276,2,,HIGH,Bi-directional money flow detected
3018,Circular Transfer,A0249,A0054,2,,HIGH,Bi-directional money flow detected
3019,Circular Transfer,A0200,A0339,2,,HIGH,Bi-directional money flow detected
3020,Circular Transfer,A0147,A0282,2,,HIGH,Bi-directional money flow detected
3021,Circular Transfer,A0373,A0294,2,,HIGH,Bi-directional money flow detected
3022,Circular Transfer,A0420,A0001,2,,HIGH,Bi-directional money flow detected
3023,Circular Transfer,A0428,A0035,2,,HIGH,Bi-directional money flow detected
3024,Circular Transfer,A0203,A0133,2,,HIGH,Bi-directional money flow detected
3025,Circular Transfer,A0330,A0481,2,,HIGH,Bi-directional money flow detected
3026,Circular Transfer,A0255,A0365,2,,HIGH,Bi-directional money flow detected
3027,Circular Transfer,A0099,A0348,2,,HIGH,Bi-directional money flow detected
3028,Circular Transfer,A0105,A0102,2,,HIGH,Bi-directional money flow detected
3029,Circular Transfer,A0028,A0220,2,,HIGH,Bi-directional money flow detected
3030,Circular Transfer,A0117,A0241,2,,HIGH,Bi-directional money flow detected
3031,Circular Transfer,A0061,A0408,2,,HIGH,Bi-directional money flow detected
3032,Circular Transfer,A0064,A0335,2,,HIGH,Bi-directional money flow detected
3033,Circular Transfer,A0191,A0022,2,,HIGH,Bi-directional money flow detected
3034,Circular Transfer,A0163,A0445,2,,HIGH,Bi-directional money flow detected
3035,Circular Transfer,A0234,A0039,2,,HIGH,Bi-directional money flow detected
3036,Circular Transfer,A0220,A0396,2,,HIGH,Bi-directional money flow detected
3037,Circular Transfer,A0225,A0458,2,,HIGH,Bi-directional money flow detected
3038,Circular Transfer,A0269,A0058,2,,HIGH,Bi-directional money flow detected
3039,Circular Transfer,A0151,A0224,2,,HIGH,Bi-directional money flow detected
3040,Circular Transfer,A0255,A0437,2,,HIGH,Bi-directional money flow detected
3041,Circular Transfer,A0464,A0043,2,,HIGH,Bi-directional money flow detected
3042,Circular Transfer,A0121,A0387,2,,HIGH,Bi-directional money flow detected
3043,Circular Transfer,A0329,A0320,2,,HIGH,Bi-directional money flow detected
3044,Circular Transfer,A0382,A0314,2,,HIGH,Bi-directional money flow detected
3045,Circular Transfer,A0471,A0120,2,,HIGH,Bi-directional money flow detected
3046,Circular Transfer,A0442,A0160,2,,HIGH,Bi-directional money flow detected
3047,Circular Transfer,A0038,A0373,2,,HIGH,Bi-directional money flow detected
3048,Circular Transfer,A0301,A0203,2,,HIGH,Bi-directional money flow detected
3049,Circular Transfer,A0471,A0187,2,,HIGH,Bi-directional money flow detected
3050,Circular Transfer,A0424,A0260,2,,HIGH,Bi-directional money flow detected
3051,Circular Transfer,A0019,A0406,2,,HIGH,Bi-directional money flow detected
3052,Circular Transfer,A0257,A0236,2,,HIGH,Bi-directional money flow detected
